                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0951,                 1.3686,                 1.2023,                0.67696,                0.52338,                 0.5927,                0.43702,                 1.0968,                  1.148,                 1.1366,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2115,                 1.4338,                 1.2653,                0.67114,                0.54233,                0.61615,                0.45476,                  1.082,                 1.0998,                 1.1275,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1859,                 1.3232,                 1.2365,                0.68328,                0.56032,                0.64584,                 0.4752,                 1.0684,                  1.071,                 1.1171,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1428,                 1.2944,                 1.2355,                0.68738,                0.57754,                 0.6697,                 0.4894,                  1.059,                 1.0459,                 1.1095,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.2188,                 1.3339,                 1.2289,                0.70473,                0.60747,                0.68906,                 0.5075,                 1.0487,                 1.0222,                 1.0997,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1263,                 1.1638,                 1.1988,                0.68965,                0.62219,                0.69893,                0.51971,                 1.0358,                 1.0027,                 1.0886,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1215,                 1.1765,                 1.1975,                0.72768,                0.63476,                0.71522,                0.53366,                  1.025,                0.98162,                 1.0811,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.0796,                 1.1243,                 1.1596,                 0.7518,                0.65321,                0.72668,                0.53947,                 1.0181,                0.94766,                 1.0763,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0776,                 1.0909,                 1.1583,                0.75273,                0.66829,                0.73731,                0.54737,                 1.0076,                0.91563,                 1.0688,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0724,                 1.1189,                 1.1742,                0.75218,                0.67393,                0.74125,                0.55166,                 1.0013,                0.89393,                 1.0647,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.1092,                 1.0991,                 1.1678,                0.77162,                0.68001,                0.75404,                0.56723,                0.98866,                0.86475,                 1.0566,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0244,                 1.0421,                 1.1364,                0.77111,                0.68499,                0.76389,                0.57641,                0.97843,                0.84448,                 1.0505,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0834,                 1.0278,                 1.1837,                 0.8141,                 0.6793,                0.76869,                0.58738,                 0.9705,                0.82747,                 1.0465,             0.00010486,             0.00010486,             0.00010486
                     14,                  1.078,                 1.0708,                 1.1482,                0.82932,                0.67635,                0.77432,                0.59311,                0.96281,                0.81427,                 1.0429,             0.00010486,             0.00010486,             0.00010486
